Nom;Ville;Adresse;SiteWeb;Description
Marathon de Paris;Paris;Champs Élysées;https://parismarathon.com;Course internationale sur route
Marathon du Médoc;Pauillac;Quai Antoine Ferchaud;https://marathondumedoc.com;Course festive dans le vignoble
